origen,destino,tiempo
N25,N155,42
N25,N156,84
N25,N157,9
N25,N158,97
N25,N159,17
N25,N160,120
N25,N161,9
N25,N162,118
N25,N163,35
N25,N164,19
N25,N165,21
N25,N166,60
N25,N167,76
N25,N168,41
N25,N169,92
N25,N170,77
N25,N171,6
N25,N172,53
N25,N173,76
N25,N174,37
N25,N175,115
N25,N176,61
N25,N177,45
N25,N178,70
N25,N179,28
N25,N180,35
N25,N181,15
N25,N182,12
N25,N183,20
N25,N184,55
N25,N185,67
N25,N186,112
N25,N187,109
N25,N188,29
N25,N189,113
N25,N190,82
N25,N191,14
N25,N192,46
N25,N193,43
N25,N194,69
N25,N195,98
N25,N196,37
N25,N197,32
N25,N198,85
N25,N199,112
N25,N200,110
N26,N27,16
N26,N28,105
N26,N29,91
N26,N30,48
N26,N31,10
N26,N32,118
N26,N33,60
N26,N34,26
N26,N35,19
N26,N36,111
N26,N37,5
N26,N38,52
N26,N39,88
N26,N40,46
N26,N41,20
N26,N42,16
N26,N43,12
N26,N44,103
N26,N45,39
N26,N46,78
N26,N47,38
N26,N48,34
N26,N49,60
N26,N50,110
N26,N51,114
N26,N52,56
N26,N53,53
N26,N54,107
N26,N55,23
N26,N56,59
N26,N57,93
N26,N58,9
N26,N59,65
N26,N60,104
N26,N61,47
N26,N62,45
N26,N63,34
N26,N64,72
N26,N65,40
N26,N66,109
N26,N67,111
N26,N68,18
N26,N69,20
N26,N70,29
N26,N71,96
N26,N72,68
N26,N73,95
N26,N74,61
N26,N75,22
N26,N76,83
N26,N77,61
N26,N78,7
N26,N79,69
N26,N80,31
N26,N81,92
N26,N82,98
N26,N83,68
N26,N84,5
N26,N85,44
N26,N86,58
N26,N87,21
N26,N88,114
N26,N89,51
N26,N90,45
N26,N91,54
N26,N92,98
N26,N93,111
N26,N94,25
N26,N95,49
N26,N96,49
N26,N97,17
N26,N98,101
N26,N99,7
N26,N100,107
N26,N101,34
N26,N102,91
N26,N103,69
N26,N104,76
N26,N105,57
N26,N106,77
N26,N107,93
N26,N108,38
N26,N109,50
N26,N110,99
N26,N111,22
N26,N112,12
N26,N113,36
N26,N114,113
N26,N115,95
N26,N116,55
N26,N117,89
N26,N118,30
N26,N119,75
N26,N120,111
N26,N121,57
N26,N122,115
N26,N123,98
N26,N124,117
N26,N125,56
N26,N126,37
N26,N127,49
N26,N128,15
N26,N129,118
N26,N130,48
N26,N131,40
N26,N132,62
N26,N133,26
N26,N134,47
N26,N135,74
N26,N136,78
N26,N137,16
N26,N138,51
N26,N139,27
N26,N140,31
N26,N141,72
N26,N142,111
N26,N143,11
N26,N144,113
N26,N145,94
N26,N146,76
N26,N147,105
N26,N148,90
N26,N149,64
N26,N150,93
N26,N151,109
N26,N152,99
N26,N153,116
N26,N154,14
N26,N155,18
N26,N156,75
N26,N157,38
N26,N158,97
N26,N159,34
N26,N160,27
N26,N161,54
N26,N162,80
N26,N163,120
N26,N164,92
N26,N165,99
N26,N166,39
N26,N167,37
N26,N168,91
N26,N169,29
N26,N170,71
N26,N171,51
N26,N172,54
N26,N173,11
N26,N174,84
N26,N175,11
N26,N176,32
N26,N177,120
N26,N178,117
N26,N179,65
N26,N180,111
N26,N181,74
N26,N182,54
N26,N183,56
N26,N184,89
N26,N185,100
N26,N186,76
N26,N187,66
N26,N188,36
N26,N189,49
N26,N190,78
N26,N191,120
N26,N192,20
N26,N193,115
N26,N194,80
N26,N195,58
N26,N196,19
N26,N197,56
N26,N198,98
N26,N199,56
N26,N200,64
N27,N28,40
N27,N29,26
N27,N30,17
N27,N31,47
N27,N32,28
N27,N33,102
N27,N34,9
N27,N35,58
N27,N36,48
N27,N37,76
N27,N38,81
N27,N39,114
N27,N40,104
N27,N41,20
N27,N42,17
N27,N43,74
N27,N44,119
N27,N45,59
N27,N46,48
N27,N47,65
N27,N48,99
N27,N49,39
N27,N50,56
N27,N51,46
N27,N52,104
N27,N53,52
N27,N54,69
N27,N55,117
N27,N56,7
N27,N57,62
N27,N58,37
N27,N59,92
N27,N60,68
N27,N61,111
N27,N62,102
N27,N63,71
N27,N64,59
N27,N65,52
N27,N66,17
N27,N67,15
N27,N68,88
N27,N69,83
N27,N70,95
N27,N71,43
N27,N72,29
N27,N73,58
N27,N74,97
N27,N75,40
N27,N76,23
N27,N77,100
N27,N78,20
N27,N79,99
N27,N80,81
N27,N81,62
N27,N82,64
N27,N83,112
N27,N84,69
N27,N85,77
N27,N86,92
N27,N87,64
N27,N88,64
N27,N89,87
N27,N90,39
N27,N91,94
N27,N92,55
N27,N93,17
N27,N94,89
N27,N95,15
N27,N96,84
N27,N97,17
N27,N98,117
N27,N99,7
N27,N100,17
N27,N101,25
N27,N102,93
N27,N103,50
N27,N104,84
N27,N105,14
N27,N106,67
N27,N107,75
N27,N108,105
N27,N109,7
N27,N110,59
N27,N111,50
N27,N112,13
N27,N113,38
N27,N114,8
N27,N115,43
N27,N116,77
N27,N117,71
N27,N118,33
N27,N119,51
N27,N120,112
N27,N121,67
N27,N122,20
N27,N123,11
N27,N124,74
N27,N125,45
N27,N126,30
N27,N127,83
N27,N128,84
N27,N129,75
N27,N130,102
N27,N131,105
N27,N132,82
N27,N133,96
N27,N134,46
N27,N135,30
N27,N136,53
N27,N137,33
N27,N138,107
N27,N139,79
N27,N140,99
N27,N141,107
N27,N142,85
N27,N143,53
N27,N144,41
N27,N145,28
N27,N146,118
N27,N147,25
N27,N148,67
N27,N149,25
N27,N150,14
N27,N151,34
N27,N152,45
N27,N153,72
N27,N154,80
N27,N155,21
N27,N156,38
N27,N157,114
N27,N158,8
N27,N159,33
N27,N160,67
N27,N161,65
N27,N162,18
N27,N163,6
N27,N164,22
N27,N165,42
N27,N166,74
N27,N167,22
N27,N168,27
N27,N169,114
N27,N170,101
N27,N171,70
N27,N172,25
N27,N173,8
N27,N174,112
N27,N175,100
N27,N176,105
N27,N177,55
N27,N178,117
N27,N179,52
N27,N180,70
N27,N181,89
N27,N182,41
N27,N183,46
N27,N184,36
N27,N185,23
N27,N186,105
N27,N187,13
N27,N188,88
N27,N189,7
N27,N190,115
N27,N191,118
N27,N192,23
N27,N193,23
N27,N194,45
N27,N195,93
N27,N196,33
N27,N197,88
N27,N198,10
N27,N199,62
N27,N200,13
N28,N29,21
N28,N30,93
N28,N31,60
N28,N32,11
N28,N33,99
N28,N34,21
N28,N35,102
N28,N36,24
N28,N37,47
N28,N38,87
N28,N39,118
N28,N40,120
N28,N41,32
N28,N42,99
N28,N43,6
N28,N44,31
N28,N45,100
N28,N46,109
N28,N47,88
N28,N48,69
N28,N49,63
N28,N50,89
N28,N51,31
N28,N52,70
N28,N53,119
N28,N54,56
N28,N55,48
N28,N56,115
N28,N57,106
N28,N58,70
N28,N59,32
N28,N60,14
N28,N61,16
N28,N62,30
N28,N63,39
N28,N64,81
N28,N65,38
N28,N66,13
N28,N67,84
N28,N68,44
N28,N69,69
N28,N70,105
N28,N71,58
N28,N72,25
N28,N73,112
N28,N74,61
N28,N75,101
N28,N76,28
N28,N77,9
N28,N78,108
N28,N79,32
N28,N80,90
N28,N81,78
N28,N82,115
N28,N83,52
N28,N84,93
N28,N85,25
N28,N86,26
N28,N87,74
N28,N88,17
N28,N89,50
N28,N90,36
N28,N91,75
N28,N92,32
N28,N93,99
N28,N94,17
N28,N95,64
N28,N96,59
N28,N97,53
N28,N98,32
N28,N99,112
N28,N100,92
N28,N101,24
N28,N102,78
N28,N103,69
N28,N104,92
N28,N105,116
N28,N106,97
N28,N107,67
N28,N108,46
N28,N109,83
N28,N110,105
N28,N111,80
N28,N112,51
N28,N113,35
N28,N114,107
N28,N115,95
N28,N116,27
N28,N117,77
N28,N118,38
N28,N119,68
N28,N120,117
N28,N121,19
N28,N122,91
N28,N123,86
N28,N124,119
N28,N125,15
N28,N126,55
N28,N127,97
N28,N128,40
N28,N129,74
N28,N130,23
N28,N131,84
N28,N132,118
N28,N133,47
N28,N134,119
N28,N135,87
N28,N136,24
N28,N137,71
N28,N138,107
N28,N139,80
N28,N140,107
N28,N141,81
N28,N142,37
N28,N143,63
N28,N144,17
N28,N145,86
N28,N146,90
N28,N147,93
N28,N148,20
N28,N149,54
N28,N150,69
N28,N151,34
N28,N152,18
N28,N153,35
N28,N154,38
N28,N155,28
N28,N156,49
N28,N157,79
N28,N158,117
N28,N159,81
N28,N160,43
N28,N161,113
N28,N162,30
N28,N163,9
N28,N164,43
N28,N165,57
N28,N166,48
N28,N167,30
N28,N168,68
N28,N169,10
N28,N170,91
N28,N171,107
N28,N172,102
N28,N173,66
N28,N174,5
N28,N175,63
N28,N176,64
N28,N177,84
N28,N178,69
N28,N179,57
N28,N180,12
N28,N181,84
N28,N182,73
N28,N183,116
N28,N184,89
N28,N185,23
N28,N186,114
N28,N187,59
N28,N188,71
N28,N189,9
N28,N190,117
N28,N191,24
N28,N192,105
N28,N193,6
N28,N194,12
N28,N195,95
N28,N196,105
N28,N197,119
N28,N198,11
N28,N199,118
N28,N200,35
N29,N30,18
N29,N31,113
N29,N32,120
N29,N33,109
N29,N34,49
N29,N35,98
N29,N36,99
N29,N37,81
N29,N38,66
N29,N39,44
N29,N40,119
N29,N41,96
N29,N42,117
N29,N43,58
N29,N44,46
N29,N45,56
N29,N46,96
N29,N47,86
N29,N48,60
N29,N49,105
N29,N50,11
N29,N51,20
N29,N52,35
N29,N53,12
N29,N54,48
N29,N55,54
N29,N56,74
N29,N57,115
N29,N58,12
N29,N59,111
N29,N60,71
N29,N61,96
N29,N62,31
N29,N63,61
N29,N64,118
N29,N65,67
N29,N66,26
N29,N67,8
N29,N68,53
N29,N69,91
N29,N70,61
N29,N71,109
N29,N72,115
N29,N73,74
N29,N74,13
N29,N75,56
N29,N76,57
N29,N77,20
N29,N78,55
N29,N79,92
N29,N80,98
N29,N81,61
N29,N82,85
N29,N83,106
N29,N84,68
N29,N85,5
N29,N86,120
N29,N87,120
N29,N88,107
N29,N89,41
N29,N90,62
N29,N91,95
N29,N92,65
N29,N93,9
N29,N94,20
N29,N95,77
N29,N96,61
N29,N97,85
N29,N98,48
N29,N99,59
N29,N100,41
N29,N101,13
N29,N102,75
N29,N103,26
N29,N104,35
N29,N105,77
N29,N106,62
N29,N107,15
N29,N108,27
N29,N109,94
N29,N110,67
N29,N111,47
N29,N112,52
N29,N113,67
N29,N114,77
N29,N115,110
N29,N116,27
N29,N117,48
N29,N118,118
N29,N119,98
N29,N120,59
N29,N121,32
N29,N122,93
N29,N123,22
N29,N124,32
N29,N125,96
N29,N126,115
N29,N127,10
N29,N128,21
N29,N129,30
N29,N130,44
N29,N131,18
N29,N132,88
N29,N133,56
N29,N134,7
N29,N135,67
N29,N136,16
N29,N137,9
N29,N138,77
N29,N139,54
N29,N140,86
N29,N141,72
N29,N142,40
N29,N143,59
N29,N144,10
N29,N145,43
N29,N146,64
N29,N147,15
N29,N148,55
N29,N149,93
N29,N150,15
N29,N151,47
N29,N152,10
N29,N153,30
N29,N154,40
N29,N155,21
N29,N156,49
N29,N157,10
N29,N158,49
N29,N159,98
N29,N160,24
N29,N161,13
N29,N162,105
N29,N163,10
N29,N164,61
N29,N165,36
N29,N166,115
N29,N167,31
N29,N168,84
N29,N169,53
N29,N170,74
N29,N171,31
N29,N172,34
N29,N173,23
N29,N174,92
N29,N175,50
N29,N176,84
N29,N177,19
N29,N178,16
N29,N179,13
N29,N180,67
N29,N181,95
N29,N182,104
N29,N183,33
N29,N184,21
N29,N185,47
N29,N186,8
N29,N187,24
N29,N188,50
N29,N189,20
N29,N190,113
N29,N191,80
N29,N192,70
N29,N193,40
N29,N194,77
N29,N195,60
N29,N196,39
N29,N197,7
N29,N198,98
N29,N199,77
N29,N200,89
N30,N31,28
N30,N32,27
N30,N33,104
N30,N34,9
N30,N35,105
N30,N36,37
N30,N37,19
N30,N38,71
N30,N39,117
N30,N40,61
N30,N41,84
N30,N42,103
N30,N43,22
N30,N44,44
N30,N45,50
N30,N46,78
N30,N47,6
N30,N48,50
N30,N49,97
N30,N50,9
N30,N51,18
N30,N52,76
N30,N53,86
N30,N54,36
N30,N55,27
N30,N56,86
N30,N57,47
N30,N58,37
N30,N59,20
N30,N60,62
N30,N61,119
N30,N62,14
N30,N63,7
N30,N64,79
N30,N65,84
N30,N66,43
N30,N67,57
N30,N68,104
N30,N69,39
N30,N70,11
N30,N71,10
N30,N72,116
N30,N73,13
N30,N74,74
N30,N75,47
N30,N76,18
N30,N77,78
N30,N78,116
N30,N79,17
N30,N80,114
N30,N81,84
N30,N82,94
N30,N83,63
N30,N84,11
N30,N85,33
N30,N86,120
N30,N87,108
N30,N88,18
N30,N89,54
N30,N90,93
N30,N91,36
N30,N92,104
N30,N93,93
N30,N94,67
N30,N95,51
N30,N96,37
N30,N97,81
N30,N98,86
N30,N99,93
N30,N100,110
N30,N101,25
N30,N102,69
N30,N103,101
N30,N104,37
N30,N105,10
N30,N106,103
N30,N107,119
N30,N108,90
N30,N109,120
N30,N110,47
N30,N111,50
N30,N112,106
N30,N113,67
N30,N114,85
N30,N115,71
N30,N116,62
N30,N117,56
N30,N118,25
N30,N119,39
N30,N120,111
N30,N121,116
N30,N122,35
N30,N123,22
N30,N124,78
N30,N125,50
N30,N126,49
N30,N127,36
N30,N128,40
N30,N129,33
N30,N130,91
N30,N131,49
N30,N132,23
N30,N133,37
N30,N134,113
N30,N135,97
N30,N136,110
N30,N137,41
N30,N138,21
N30,N139,68
N30,N140,57
N30,N141,88
N30,N142,72
N30,N143,106
N30,N144,13
N30,N145,17
N30,N146,70
N30,N147,30
N30,N148,14
N30,N149,48
N30,N150,106
N30,N151,82
N30,N152,100
N30,N153,50
N30,N154,79
N30,N155,30
N30,N156,119
N30,N157,80
N30,N158,23
N30,N159,46
N30,N160,118
N30,N161,112
N30,N162,18
N30,N163,28
N30,N164,43
N30,N165,66
N30,N166,97
N30,N167,11
N30,N168,38
N30,N169,90
N30,N170,46
N30,N171,106
N30,N172,109
N30,N173,38
N30,N174,116
N30,N175,71
N30,N176,35
N30,N177,72
N30,N178,117
N30,N179,11
N30,N180,88
N30,N181,40
N30,N182,113
N30,N183,87
N30,N184,64
N30,N185,28
N30,N186,101
N30,N187,111
N30,N188,23
N30,N189,13
N30,N190,102
N30,N191,67
N30,N192,56
N30,N193,32
N30,N194,22
N30,N195,30
N30,N196,99
N30,N197,26
N30,N198,59
N30,N199,112
N30,N200,92
N31,N32,9
N31,N33,117
N31,N34,36
N31,N35,21
N31,N36,18
N31,N37,92
N31,N38,87
N31,N39,18
N31,N40,30
N31,N41,72
N31,N42,59
N31,N43,95
N31,N44,109
N31,N45,106
N31,N46,102
N31,N47,53
N31,N48,94
N31,N49,67
N31,N50,105
N31,N51,58
N31,N52,120
N31,N53,73
N31,N54,12
N31,N55,70
N31,N56,100
N31,N57,50
N31,N58,117
N31,N59,116
N31,N60,57
N31,N61,63
N31,N62,5
N31,N63,100
N31,N64,96
N31,N65,21
N31,N66,76
N31,N67,117
N31,N68,6
N31,N69,6
N31,N70,94
N31,N71,101
N31,N72,90
N31,N73,6
N31,N74,55
N31,N75,62
N31,N76,19
N31,N77,83
N31,N78,56
N31,N79,81
N31,N80,119
N31,N81,61
N31,N82,43
N31,N83,35
N31,N84,89
N31,N85,41
N31,N86,39
N31,N87,63
N31,N88,120
N31,N89,38
N31,N90,38
N31,N91,23
N31,N92,19
N31,N93,71
N31,N94,91
N31,N95,27
N31,N96,107
N31,N97,20
N31,N98,54
N31,N99,111
N31,N100,97
N31,N101,60
N31,N102,46
N31,N103,18
N31,N104,49
N31,N105,75
N31,N106,90
N31,N107,14
N31,N108,116
N31,N109,115
N31,N110,89
N31,N111,53
N31,N112,86
N31,N113,65
N31,N114,80
N31,N115,6
N31,N116,25
N31,N117,45
N31,N118,59
N31,N119,44
N31,N120,51
N31,N121,56
N31,N122,43
N31,N123,13
N31,N124,13
N31,N125,49
N31,N126,44
N31,N127,18
N31,N128,62
N31,N129,94
N31,N130,55
N31,N131,18
N31,N132,104
N31,N133,14
N31,N134,71
N31,N135,113
N31,N136,14
N31,N137,27
N31,N138,20
N31,N139,52
N31,N140,32
N31,N141,94
N31,N142,50
N31,N143,65
N31,N144,110
N31,N145,110
N31,N146,46
N31,N147,70
N31,N148,46
N31,N149,14
N31,N150,81
N31,N151,97
N31,N152,64
N31,N153,120
N31,N154,10
N31,N155,100
N31,N156,5
N31,N157,16
N31,N158,52
N31,N159,89
N31,N160,31
N31,N161,46
N31,N162,45
N31,N163,119
N31,N164,105
N31,N165,38
N31,N166,97
N31,N167,61
N31,N168,108
N31,N169,41
N31,N170,16
N31,N171,101
N31,N172,51
N31,N173,41
N31,N174,43
N31,N175,116
N31,N176,45
N31,N177,16
N31,N178,64
N31,N179,65
N31,N180,41
N31,N181,62
N31,N182,26
N31,N183,46
N31,N184,47
N31,N185,50
N31,N186,16
N31,N187,97
N31,N188,57
N31,N189,37
N31,N190,68
N31,N191,56
N31,N192,55
N31,N193,19
N31,N194,31
N31,N195,70
N31,N196,57
N31,N197,113
N31,N198,116
N31,N199,114
N31,N200,114
N32,N33,31
N32,N34,8
N32,N35,6
N32,N36,12
N32,N37,16
N32,N38,59
N32,N39,109
N32,N40,54
N32,N41,41
N32,N42,105
N32,N43,89
N32,N44,120
N32,N45,59
N32,N46,52
N32,N47,61
N32,N48,36
N32,N49,46
N32,N50,35
N32,N51,101
N32,N52,98
N32,N53,65
N32,N54,36
N32,N55,82
N32,N56,54
N32,N57,53
N32,N58,62
N32,N59,62
N32,N60,68
N32,N61,50
N32,N62,92
N32,N63,58
N32,N64,14
N32,N65,63
N32,N66,19
N32,N67,83
N32,N68,8
N32,N69,83
N32,N70,65
N32,N71,68
N32,N72,20
N32,N73,109
N32,N74,39
N32,N75,69
N32,N76,43
N32,N77,119
N32,N78,114
N32,N79,58
N32,N80,115
N32,N81,9
N32,N82,75
N32,N83,108
N32,N84,41
N32,N85,77
N32,N86,44
N32,N87,90
N32,N88,15
N32,N89,64
N32,N90,11
N32,N91,6
N32,N92,50
N32,N93,72
N32,N94,120
N32,N95,90
N32,N96,58
N32,N97,98
N32,N98,28
N32,N99,32
N32,N100,45
N32,N101,68
N32,N102,108
N32,N103,59
N32,N104,84
N32,N105,102
N32,N106,38
N32,N107,117
N32,N108,72
N32,N109,68
N32,N110,25
N32,N111,92
N32,N112,37
N32,N113,43
N32,N114,99
N32,N115,92
N32,N116,7
N32,N117,11
N32,N118,33
N32,N119,7
N32,N120,87
N32,N121,87
N32,N122,19
N32,N123,117
N32,N124,104
N32,N125,38
N32,N126,104
N32,N127,47
N32,N128,101
N32,N129,73
N32,N130,52
N32,N131,9
N32,N132,119
N32,N133,111
N32,N134,118
N32,N135,39
N32,N136,72
N32,N137,24
N32,N138,16
N32,N139,54
N32,N140,15
N32,N141,97
N32,N142,32
N32,N143,22
N32,N144,105
N32,N145,10
N32,N146,67
N32,N147,86
N32,N148,82
N32,N149,25
N32,N150,49
N32,N151,71
N32,N152,68
N32,N153,58
N32,N154,75
N32,N155,67
N32,N156,28
N32,N157,6
N32,N158,108
N32,N159,36
N32,N160,71
N32,N161,85
N32,N162,59
N32,N163,45
N32,N164,51
N32,N165,28
N32,N166,43
N32,N167,21
N32,N168,78
N32,N169,65
N32,N170,31
N32,N171,111
N32,N172,50
N32,N173,62
N32,N174,56
N32,N175,45
N32,N176,85
N32,N177,50
N32,N178,9
N32,N179,83
N32,N180,30
N32,N181,79
N32,N182,23
N32,N183,102
N32,N184,36
N32,N185,59
N32,N186,31
N32,N187,11
N32,N188,114
N32,N189,32
N32,N190,60
N32,N191,13
N32,N192,110
N32,N193,34
N32,N194,110
N32,N195,39
N32,N196,97
N32,N197,13
N32,N198,110
N32,N199,80
N32,N200,92
N33,N34,65
N33,N35,109
N33,N36,93
N33,N37,26
N33,N38,93
N33,N39,89
N33,N40,9
N33,N41,68
N33,N42,51
N33,N43,113
N33,N44,18
N33,N45,98
N33,N46,54
N33,N47,61
N33,N48,90
N33,N49,52
N33,N50,55
N33,N51,37
N33,N52,16
N33,N53,86
N33,N54,49
N33,N55,47
N33,N56,68
N33,N57,63
N33,N58,11
N33,N59,118
N33,N60,88
N33,N61,36
N33,N62,67
N33,N63,49
N33,N64,64
N33,N65,84
N33,N66,73
N33,N67,14
N33,N68,19
N33,N69,101
N33,N70,70
N33,N71,41
N33,N72,11
N33,N73,43
N33,N74,76
N33,N75,24
N33,N76,29
N33,N77,118
N33,N78,88
N33,N79,113
N33,N80,79
N33,N81,96
N33,N82,67
N33,N83,71
N33,N84,25
N33,N85,103
N33,N86,91
N33,N87,17
N33,N88,73
N33,N89,117
N33,N90,69
N33,N91,42
N33,N92,44
N33,N93,16
N33,N94,74
N33,N95,51
N33,N96,120
N33,N97,55
N33,N98,78
N33,N99,7
N33,N100,64
N33,N101,119
N33,N102,109
N33,N103,49
N33,N104,118
N33,N105,103
N33,N106,61
N33,N107,78
N33,N108,50
N33,N109,73
N33,N110,77
N33,N111,113
N33,N112,32
N33,N113,105
N33,N114,55
N33,N115,68
N33,N116,101
N33,N117,31
N33,N118,65
N33,N119,68
N33,N120,76
N33,N121,73
N33,N122,35
N33,N123,72
N33,N124,51
N33,N125,112
N33,N126,59
N33,N127,115
N33,N128,73
N33,N129,26
N33,N130,17
N33,N131,76
N33,N132,36
N33,N133,19
N33,N134,44
N33,N135,62
N33,N136,55
N33,N137,89
N33,N138,85
N33,N139,27
N33,N140,43
N33,N141,66
N33,N142,23
N33,N143,74
N33,N144,40
N33,N145,58
N33,N146,114
N33,N147,69
N33,N148,19
N33,N149,42
N33,N150,50
N33,N151,39
N33,N152,114
N33,N153,117
N33,N154,63
N33,N155,62
N33,N156,72
N33,N157,79
N33,N158,82
N33,N159,94
N33,N160,111
N33,N161,85
N33,N162,109
N33,N163,103
N33,N164,48
N33,N165,8
N33,N166,82
N33,N167,95
N33,N168,78
N33,N169,23
N33,N170,97
N33,N171,97
N33,N172,110
N33,N173,30
N33,N174,84
N33,N175,17
N33,N176,14
N33,N177,96
N33,N178,100
N33,N179,42
N33,N180,78
N33,N181,30
N33,N182,26
N33,N183,55
N33,N184,103
N33,N185,105
N33,N186,100
N33,N187,116
N33,N188,80
N33,N189,30
N33,N190,15
N33,N191,108
N33,N192,60
N33,N193,116
N33,N194,114
N33,N195,31
N33,N196,38
N33,N197,48
N33,N198,28
N33,N199,109
N33,N200,95
N34,N35,112
N34,N36,107
N34,N37,64
N34,N38,88
N34,N39,77
N34,N40,71
N34,N41,80
N34,N42,67
N34,N43,87
N34,N44,85
N34,N45,30
N34,N46,102
N34,N47,106
N34,N48,104
N34,N49,59
N34,N50,28
N34,N51,114
N34,N52,30
N34,N53,82
N34,N54,40
N34,N55,95
N34,N56,84
N34,N57,64
N34,N58,77
N34,N59,39
N34,N60,25
N34,N61,89
N34,N62,93
N34,N63,17
N34,N64,73
N34,N65,45
N34,N66,52
N34,N67,24
N34,N68,61
N34,N69,118
N34,N70,115
N34,N71,101
N34,N72,40
N34,N73,104
N34,N74,21
N34,N75,80
N34,N76,117
N34,N77,110
N34,N78,80
N34,N79,52
N34,N80,23
N34,N81,87
N34,N82,67
N34,N83,83
N34,N84,59
N34,N85,20
N34,N86,97
N34,N87,109
N34,N88,49
N34,N89,82
N34,N90,38
N34,N91,56
N34,N92,5
N34,N93,30
N34,N94,90
N34,N95,110
N34,N96,91
N34,N97,93
N34,N98,114
N34,N99,93
N34,N100,105
N34,N101,24
N34,N102,15
N34,N103,32
N34,N104,22
N34,N105,89
N34,N106,81
N34,N107,34
N34,N108,117
N34,N109,74
N34,N110,55
N34,N111,61
N34,N112,66
N34,N113,37
N34,N114,46
N34,N115,110
N34,N116,74
N34,N117,75
N34,N118,120
N34,N119,15
N34,N120,32
N34,N121,113
N34,N122,84
N34,N123,56
N34,N124,55
N34,N125,81
N34,N126,69
N34,N127,78
N34,N128,61
N34,N129,8
N34,N130,14
N34,N131,5
N34,N132,93
N34,N133,67
N34,N134,6
N34,N135,84
N34,N136,38
N34,N137,40
N34,N138,108
N34,N139,57
N34,N140,16
N34,N141,21
N34,N142,45
N34,N143,21
N34,N144,20
N34,N145,75
N34,N146,94
N34,N147,55
N34,N148,73
N34,N149,51
N34,N150,23
N34,N151,99
N34,N152,28
N34,N153,29
N34,N154,30
N34,N155,43
N34,N156,10
N34,N157,72
N34,N158,29
N34,N159,27
N34,N160,95
N34,N161,31
N34,N162,7
N34,N163,83
N34,N164,82
N34,N165,39
N34,N166,57
N34,N167,102
N34,N168,79
N34,N169,75
N34,N170,66
N34,N171,117
N34,N172,41
N34,N173,42
N34,N174,33
N34,N175,101
N34,N176,30
N34,N177,103
N34,N178,83
N34,N179,75
N34,N180,101
N34,N181,15
N34,N182,9
N34,N183,99
N34,N184,57
N34,N185,100
N34,N186,27
N34,N187,59
N34,N188,72
N34,N189,117
N34,N190,61
N34,N191,51
N34,N192,43
N34,N193,109
N34,N194,47
N34,N195,64
N34,N196,84
N34,N197,82
N34,N198,30
N34,N199,107
N34,N200,18
N35,N36,5
N35,N37,23
N35,N38,117
N35,N39,10
N35,N40,57
N35,N41,30
N35,N42,13
N35,N43,113
N35,N44,14
N35,N45,17
N35,N46,107
N35,N47,63
N35,N48,41
N35,N49,114
N35,N50,33
N35,N51,41
N35,N52,71
N35,N53,59
N35,N54,56
N35,N55,43
N35,N56,54
N35,N57,83
N35,N58,107
N35,N59,79
N35,N60,97
N35,N61,103
N35,N62,118
N35,N63,14
N35,N64,114
N35,N65,106
N35,N66,93
N35,N67,43
N35,N68,84
N35,N69,70
N35,N70,32
N35,N71,67
N35,N72,103
N35,N73,89
N35,N74,80
N35,N75,70
N35,N76,110
N35,N77,92
N35,N78,75
N35,N79,114
N35,N80,43
N35,N81,35
N35,N82,76
N35,N83,74
N35,N84,8
N35,N85,41
N35,N86,101
N35,N87,90
N35,N88,93
N35,N89,21
N35,N90,79
N35,N91,80
N35,N92,14
N35,N93,56
N35,N94,16
N35,N95,78
N35,N96,101
N35,N97,53
N35,N98,86
N35,N99,28
N35,N100,96
N35,N101,34
N35,N102,116
N35,N103,85
N35,N104,10
N35,N105,51
N35,N106,67
N35,N107,54
N35,N108,51
N35,N109,62
N35,N110,70
N35,N111,91
N35,N112,120
N35,N113,120
N35,N114,67
N35,N115,78
N35,N116,65
N35,N117,5
N35,N118,43
N35,N119,110
N35,N120,24
N35,N121,30
N35,N122,93
N35,N123,111
N35,N124,84
N35,N125,71
N35,N126,14
N35,N127,12
N35,N128,92
N35,N129,53
N35,N130,15
N35,N131,99
N35,N132,102
N35,N133,83
N35,N134,48
N35,N135,57
N35,N136,55
N35,N137,42
N35,N138,74
N35,N139,6
N35,N140,45
N35,N141,77
N35,N142,81
N35,N143,92
N35,N144,101
N35,N145,82
N35,N146,102
N35,N147,84
N35,N148,113
N35,N149,61
N35,N150,57
N35,N151,71
N35,N152,36
N35,N153,6
N35,N154,29
N35,N155,42
N35,N156,26
N35,N157,40
N35,N158,5
N35,N159,54
N35,N160,102
N35,N161,93
N35,N162,112
N35,N163,47
N35,N164,59
N35,N165,86
N35,N166,83
N35,N167,97
N35,N168,27
N35,N169,91
N35,N170,118
N35,N171,119
N35,N172,9
N35,N173,94
N35,N174,100
N35,N175,104
N35,N176,72
N35,N177,83
N35,N178,114
N35,N179,79
N35,N180,105
N35,N181,117
N35,N182,34
N35,N183,35
N35,N184,21
N35,N185,102
N35,N186,21
N35,N187,111
N35,N188,88
N35,N189,12
N35,N190,34
N35,N191,76
N35,N192,27
N35,N193,43
N35,N194,17
N35,N195,103
N35,N196,119
N35,N197,38
N35,N198,35
N35,N199,107
N35,N200,35
N36,N37,120
N36,N38,103
N36,N39,116
N36,N40,56
N36,N41,41
N36,N42,68
N36,N43,120
